ts,corridor,notional_src,wf_buy_bps,wf_move_bps,wf_sell_bps
2026-09-23T17:05:15.275052+00:00,SGD->PHP,200,80.76,255.06,-13.34
2026-09-23T17:05:15.275052+00:00,SGD->PHP,1000,80.76,51.01,-13.62
2026-09-23T17:05:15.275052+00:00,SGD->PHP,5000,80.76,10.2,-13.68
2026-09-23T17:05:15.275052+00:00,SGD->PHP,25000,80.76,2.04,-13.69
2026-09-23T17:05:15.275052+00:00,SGD->PHP,50000,80.76,1.02,-13.69
2026-09-23T17:05:18.256083+00:00,USD->MXN,200,-0.9,1.0,-84.12
2026-09-23T17:05:18.256083+00:00,USD->MXN,1000,-0.9,1.0,-84.12
2026-09-23T17:05:18.256083+00:00,USD->MXN,5000,-0.88,1.0,-84.12
2026-09-23T17:05:18.256083+00:00,USD->MXN,25000,-0.77,1.0,-83.66
2026-09-23T17:05:18.256083+00:00,USD->MXN,50000,-0.69,1.0,-83.6
2026-09-23T17:05:20.201102+00:00,AUD->PHP,200,170.62,281.28,-13.18
2026-09-23T17:05:20.201102+00:00,AUD->PHP,1000,170.62,56.26,-13.49
2026-09-23T17:05:20.201102+00:00,AUD->PHP,5000,170.65,11.25,-13.56
2026-09-23T17:05:20.201102+00:00,AUD->PHP,25000,171.05,2.25,-13.57
2026-09-23T17:05:20.201102+00:00,AUD->PHP,50000,171.11,1.13,-13.57
2026-09-23T17:05:22.800491+00:00,NZD->PHP,200,123.74,349.35,-13.16
2026-09-23T17:05:22.800491+00:00,NZD->PHP,1000,123.74,69.87,-13.55
2026-09-23T17:05:22.800491+00:00,NZD->PHP,5000,123.74,13.97,-13.62
2026-09-23T17:05:22.800491+00:00,NZD->PHP,25000,123.74,2.79,-13.63
2026-09-23T17:05:22.800491+00:00,NZD->PHP,50000,145.08,1.4,-13.6
