ts_utc,venue,leg,regime,config_bps,published_bps,status,source_url,error
2026-08-18T09:48:38Z,IndependentReserve,onramp,taker,50.0,50.0,ok,https://www.independentreserve.com/sg/fees,
2026-08-18T09:48:38Z,IndependentReserve,onramp,maker,50.0,50.0,ok,https://www.independentreserve.com/sg/fees,
2026-08-18T09:48:38Z,Coins.ph,offramp,taker,15.0,15.0,ok,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-08-18T09:48:38Z,Coins.ph,offramp,maker,10.0,10.0,ok,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-08-18T09:48:39Z,IndependentReserve,onramp,taker,50.0,50.0,ok,https://www.independentreserve.com/sg/fees,
2026-08-18T09:48:39Z,IndependentReserve,onramp,maker,50.0,50.0,ok,https://www.independentreserve.com/sg/fees,
2026-08-18T09:48:39Z,Coins.ph,offramp,taker,15.0,15.0,ok,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-08-18T09:48:39Z,Coins.ph,offramp,maker,10.0,10.0,ok,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-08-19T06:21:39Z,IndependentReserve,onramp,taker,50.0,50.0,ok,https://www.independentreserve.com/sg/fees,
2026-08-19T06:21:39Z,IndependentReserve,onramp,maker,50.0,50.0,ok,https://www.independentreserve.com/sg/fees,
2026-08-19T06:21:39Z,Coins.ph,offramp,taker,15.0,15.0,ok,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-08-19T06:21:39Z,Coins.ph,offramp,maker,10.0,10.0,ok,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-08-19T06:21:39Z,Coinbase,onramp,taker,1.0,,ok,https://www.coinbase.com/advanced-fees,not scrapable (login-gated); manual verification 0d old; limit 90d
2026-08-19T06:21:39Z,Coinbase,onramp,maker,0.5,,ok,https://www.coinbase.com/advanced-fees,not scrapable (login-gated); manual verification 0d old; limit 90d
2026-08-19T06:21:39Z,Bitso,offramp,taker,78.0,78.0,ok,https://api.bitso.com/v3/available_books/,
2026-08-19T06:21:39Z,Bitso,offramp,maker,60.0,60.0,ok,https://api.bitso.com/v3/available_books/,
