ts_utc,venue,leg,regime,tier_label,volume_threshold,volume_ccy,fee_pct,source_url,error
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,0,0.0,AUD,0.5,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,1,50000.0,AUD,0.48,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,2,100000.0,AUD,0.46,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,3,200000.0,AUD,0.44,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,4,300000.0,AUD,0.42,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,5,400000.0,AUD,0.4,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,6,500000.0,AUD,0.38,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,7,600000.0,AUD,0.36,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,8,800000.0,AUD,0.34,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,9,1000000.0,AUD,0.32,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,10,1200000.0,AUD,0.3,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,11,1400000.0,AUD,0.28,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,12,1600000.0,AUD,0.26,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,13,1800000.0,AUD,0.24,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,14,2000000.0,AUD,0.22,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,15,2500000.0,AUD,0.2,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,16,3000000.0,AUD,0.18,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,17,3500000.0,AUD,0.16,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,18,4000000.0,AUD,0.14,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,19,4500000.0,AUD,0.12,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,20,5000000.0,AUD,0.1,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,21,10000000.0,AUD,0.08,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,22,15000000.0,AUD,0.07,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,23,30000000.0,AUD,0.06,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,taker,24,50000000.0,AUD,0.05,https://www.independentreserve.com/sg/fees,
