ts_utc,ccy,spread_pct,ccy_mean_spread_pct,spread_ratio,n_prior_readings
2026-09-02T15:35:13.981853+00:00,EGP,-0.2522,,,0
2026-09-02T15:35:13.981853+00:00,PKR,0.2101,,,0
2026-09-02T15:35:13.981853+00:00,BDT,0.3497,,,0
2026-09-02T15:35:13.981853+00:00,VND,0.1046,,,0
2026-09-02T15:35:13.981853+00:00,KES,0.3317,,,0
2026-09-02T15:35:13.981853+00:00,BOB,0.3668,,,0
2026-09-02T15:35:13.981853+00:00,LBP,1.0528,,,0
2026-09-02T16:05:32.668667+00:00,EGP,-0.3202,,,1
2026-09-02T16:05:32.668667+00:00,PKR,0.1926,,,1
2026-09-02T16:05:32.668667+00:00,BDT,0.2199,,,1
2026-09-02T16:05:32.668667+00:00,VND,0.1319,,,1
2026-09-02T16:05:32.668667+00:00,KES,0.2932,,,1
2026-09-02T16:05:32.668667+00:00,BOB,0.3257,,,1
2026-09-02T16:05:32.668667+00:00,LBP,1.1198,,,1
2026-09-02T17:05:30.121557+00:00,EGP,-0.2524,,,2
2026-09-02T17:05:30.121557+00:00,PKR,0.2118,,,2
2026-09-02T17:05:30.121557+00:00,BDT,0.1532,,,2
2026-09-02T17:05:30.121557+00:00,VND,0.2037,,,2
2026-09-02T17:05:30.121557+00:00,KES,0.2855,,,2
2026-09-02T17:05:30.121557+00:00,BOB,0.6478,,,2
2026-09-02T17:05:30.121557+00:00,LBP,1.4082,,,2
2026-09-02T18:05:35.181844+00:00,EGP,-0.0875,,,3
2026-09-02T18:05:35.181844+00:00,PKR,0.0753,,,3
2026-09-02T18:05:35.181844+00:00,BDT,0.3811,,,3
2026-09-02T18:05:35.181844+00:00,VND,0.2268,,,3
2026-09-02T18:05:35.181844+00:00,KES,0.3163,,,3
2026-09-02T18:05:35.181844+00:00,BOB,0.4436,,,3
2026-09-02T18:05:35.181844+00:00,LBP,1.4025,,,3
2026-09-02T19:05:33.989824+00:00,EGP,0.0389,,,4
2026-09-02T19:05:33.989824+00:00,PKR,0.2032,,,4
2026-09-02T19:05:33.989824+00:00,BDT,0.4243,,,4
2026-09-02T19:05:33.989824+00:00,VND,0.2018,,,4
2026-09-02T19:05:33.989824+00:00,KES,0.3895,,,4
2026-09-02T19:05:33.989824+00:00,BOB,0.4436,,,4
