ts_utc,corridor,size,provider,old_cost_pct,new_cost_pct,move_pct,n_agree,n_panel,old_day,prev_day_cost_pct,kind
2026-08-12T00:00:00+00:00,SGD->PHP,200,PayPal,8.1177,8.056,-0.0617,3,4,2026-08-11,7.4168,change
2026-08-12T00:00:00+00:00,SGD->PHP,1000,OFX,5.3193,5.1822,-0.1372,4,5,2026-08-11,4.6104,change
2026-08-12T00:00:00+00:00,SGD->PHP,5000,OFX,4.1555,4.0271,-0.1284,4,5,2026-08-11,3.4483,change
2026-08-12T00:00:00+00:00,SGD->PHP,25000,OFX,3.1385,3.0157,-0.1228,4,5,2026-08-11,2.4311,change
2026-08-12T00:00:00+00:00,SGD->PHP,50000,OFX,3.1391,3.0157,-0.1234,3,4,2026-08-11,2.4311,change
2026-08-13T00:00:00+00:00,SGD->PHP,200,HSBC Singapore,1.4689,1.5401,0.0712,3,4,2026-08-12,1.6696,change
2026-08-13T00:00:00+00:00,SGD->PHP,200,PayPal,7.919,7.3721,-0.5469,3,4,2026-08-12,8.056,change
2026-08-13T00:00:00+00:00,SGD->PHP,1000,OFX,4.9756,5.1243,0.1487,4,5,2026-08-12,5.1822,change
2026-08-13T00:00:00+00:00,SGD->PHP,1000,PayPal,5.5007,4.9272,-0.5735,4,5,2026-08-12,5.6295,change
2026-08-13T00:00:00+00:00,SGD->PHP,5000,OFX,3.8204,3.9685,0.1481,4,5,2026-08-12,4.0271,change
2026-08-13T00:00:00+00:00,SGD->PHP,5000,PayPal,5.0152,4.4381,-0.5771,4,5,2026-08-12,5.1442,change
2026-08-13T00:00:00+00:00,SGD->PHP,25000,OFX,2.8089,2.9566,0.1477,4,5,2026-08-12,3.0157,change
2026-08-13T00:00:00+00:00,SGD->PHP,25000,PayPal,4.9181,4.3402,-0.5779,4,5,2026-08-12,5.0472,change
2026-08-13T00:00:00+00:00,SGD->PHP,50000,OFX,2.828,2.9566,0.1287,3,4,2026-08-12,3.0157,change
2026-08-13T00:00:00+00:00,SGD->PHP,50000,Wise,0.3315,0.2605,-0.071,3,4,2026-08-12,0.4571,change
2026-08-14T00:00:00+00:00,SGD->PHP,200,HSBC Singapore,1.4202,1.2167,-0.2034,3,4,2026-08-13,1.5401,change
2026-08-14T00:00:00+00:00,SGD->PHP,200,PayPal,7.2368,7.5178,0.281,3,4,2026-08-13,7.3721,change
2026-08-14T00:00:00+00:00,SGD->PHP,1000,HSBC Singapore,1.4605,1.2167,-0.2438,4,5,2026-08-13,1.5401,change
2026-08-14T00:00:00+00:00,SGD->PHP,1000,PayPal,4.8046,5.0787,0.2741,4,5,2026-08-13,4.9272,change
2026-08-14T00:00:00+00:00,SGD->PHP,5000,HSBC Singapore,1.4597,1.2167,-0.243,4,5,2026-08-13,1.5401,change
2026-08-14T00:00:00+00:00,SGD->PHP,5000,PayPal,4.3157,4.5909,0.2751,4,5,2026-08-13,4.4381,change
2026-08-14T00:00:00+00:00,SGD->PHP,25000,HSBC Singapore,1.4592,1.2167,-0.2425,4,5,2026-08-13,1.5401,change
2026-08-14T00:00:00+00:00,SGD->PHP,25000,PayPal,4.218,4.4934,0.2754,4,5,2026-08-13,4.3402,change
2026-08-14T00:00:00+00:00,SGD->PHP,50000,HSBC Singapore,1.4194,1.2167,-0.2027,3,4,2026-08-13,1.5401,change
2026-08-14T00:00:00+00:00,SGD->PHP,50000,OFX,2.8168,2.895,0.0781,3,4,2026-08-13,2.9566,change
2026-08-15T00:00:00+00:00,SGD->PHP,200,Instarem,0.6843,0.818,0.1337,3,4,2026-08-14,0.4683,weekend_up
2026-08-15T00:00:00+00:00,SGD->PHP,200,PayPal,7.7801,7.5569,-0.2232,3,4,2026-08-14,7.5178,change
2026-08-15T00:00:00+00:00,SGD->PHP,1000,OFX,5.3246,5.576,0.2514,4,5,2026-08-14,5.064,weekend_up
2026-08-15T00:00:00+00:00,SGD->PHP,1000,PayPal,5.3768,5.1189,-0.2579,4,5,2026-08-14,5.0787,change
2026-08-15T00:00:00+00:00,SGD->PHP,5000,OFX,4.1675,4.4256,0.2581,4,5,2026-08-14,3.9074,weekend_up
2026-08-15T00:00:00+00:00,SGD->PHP,5000,PayPal,4.8897,4.6312,-0.2585,4,5,2026-08-14,4.5909,change
2026-08-15T00:00:00+00:00,SGD->PHP,25000,OFX,3.1546,3.4188,0.2642,4,5,2026-08-14,2.895,weekend_up
2026-08-15T00:00:00+00:00,SGD->PHP,25000,PayPal,4.7922,4.5337,-0.2585,4,5,2026-08-14,4.4934,change
2026-08-15T00:00:00+00:00,SGD->PHP,50000,HSBC Singapore,1.577,1.4426,-0.1344,3,4,2026-08-14,1.2167,change
2026-08-15T00:00:00+00:00,SGD->PHP,50000,OFX,3.1667,3.4188,0.2521,3,4,2026-08-14,2.895,weekend_up
2026-08-17T00:00:00+00:00,SGD->PHP,200,Instarem,0.598,0.5222,-0.0759,3,4,2026-08-16,0.7837,weekend_back
2026-08-17T00:00:00+00:00,SGD->PHP,200,PayPal,7.3308,7.5831,0.2523,3,4,2026-08-16,7.5249,change
2026-08-17T00:00:00+00:00,SGD->PHP,1000,OFX,5.3368,5.1109,-0.2258,4,5,2026-08-16,5.5433,weekend_back
2026-08-17T00:00:00+00:00,SGD->PHP,1000,PayPal,4.8572,5.1513,0.2941,4,5,2026-08-16,5.086,change
2026-08-17T00:00:00+00:00,SGD->PHP,5000,OFX,4.186,3.955,-0.231,4,5,2026-08-16,4.3926,weekend_back
2026-08-17T00:00:00+00:00,SGD->PHP,5000,PayPal,4.3697,4.6651,0.2954,4,5,2026-08-16,4.5982,change
2026-08-17T00:00:00+00:00,SGD->PHP,25000,OFX,3.1786,2.943,-0.2355,4,5,2026-08-16,3.3853,weekend_back
2026-08-17T00:00:00+00:00,SGD->PHP,25000,PayPal,4.2724,4.5678,0.2955,4,5,2026-08-16,4.5007,change
2026-08-17T00:00:00+00:00,SGD->PHP,50000,OFX,3.1735,2.943,-0.2305,3,4,2026-08-16,3.3853,weekend_back
2026-08-18T00:00:00+00:00,SGD->PHP,200,PayPal,7.4778,7.6692,0.1914,3,4,2026-08-17,7.5831,change
2026-08-18T00:00:00+00:00,SGD->PHP,1000,OFX,5.1392,4.9332,-0.206,4,5,2026-08-17,5.1109,change
2026-08-18T00:00:00+00:00,SGD->PHP,1000,PayPal,5.0343,5.2361,0.2019,4,5,2026-08-17,5.1513,change
2026-08-18T00:00:00+00:00,SGD->PHP,5000,OFX,3.9841,3.7751,-0.209,4,5,2026-08-17,3.955,change
2026-08-18T00:00:00+00:00,SGD->PHP,5000,PayPal,4.5475,4.7495,0.2021,4,5,2026-08-17,4.6651,change
2026-08-18T00:00:00+00:00,SGD->PHP,25000,OFX,2.9745,2.7612,-0.2133,4,5,2026-08-17,2.943,change
2026-08-18T00:00:00+00:00,SGD->PHP,25000,PayPal,4.4499,4.6521,0.2022,4,5,2026-08-17,4.5678,change
2026-08-18T00:00:00+00:00,SGD->PHP,50000,OFX,2.9624,2.7612,-0.2012,3,4,2026-08-17,2.943,change
2026-08-19T00:00:00+00:00,SGD->PHP,200,PayPal,7.8012,7.706,-0.0952,3,4,2026-08-18,7.6692,change
2026-08-19T00:00:00+00:00,SGD->PHP,1000,OFX,4.9167,4.8751,-0.0416,4,5,2026-08-18,4.9332,change
2026-08-20T00:00:00+00:00,SGD->PHP,200,PayPal,7.947,7.7025,-0.2445,3,4,2026-08-19,7.706,change
2026-08-20T00:00:00+00:00,SGD->PHP,1000,OFX,5.1662,5.2515,0.0852,4,5,2026-08-19,4.8751,change
