ts_utc,corridor,size_src,provider,payout_type
2026-09-26T04:06:56.558549+00:00,AUD->PHP,200,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,200,Wise,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,200,Instarem,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,1000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,1000,Wise,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,1000,Instarem,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,5000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,5000,Wise,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,5000,Instarem,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,25000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,25000,Wise,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,25000,Instarem,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,50000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,50000,Wise,bank
2026-09-26T04:06:56.558549+00:00,AUD->PHP,50000,Instarem,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,200,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,200,Wise,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,1000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,1000,Wise,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,5000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,5000,Wise,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,25000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,25000,Wise,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,50000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,NZD->PHP,50000,Wise,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,200,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,200,Wise,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,200,Instarem,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,1000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,1000,Wise,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,1000,Instarem,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,5000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,5000,Wise,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,5000,Instarem,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,25000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,25000,Wise,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,25000,Instarem,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,50000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,50000,Wise,bank
2026-09-26T04:06:56.558549+00:00,SGD->PHP,50000,Instarem,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,200,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,200,Wise,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,1000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,1000,Wise,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,5000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,5000,Wise,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,25000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,25000,Wise,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,50000,Airwallex,bank
2026-09-26T04:06:56.558549+00:00,USD->MXN,50000,Wise,bank
2026-09-26T05:06:58.952910+00:00,AUD->PHP,200,Airwallex,bank
2026-09-26T05:06:58.952910+00:00,AUD->PHP,200,Wise,bank
2026-09-26T05:06:58.952910+00:00,AUD->PHP,200,Instarem,bank
2026-09-26T05:06:58.952910+00:00,AUD->PHP,1000,Airwallex,bank
2026-09-26T05:06:58.952910+00:00,AUD->PHP,1000,Wise,bank
2026-09-26T05:06:58.952910+00:00,AUD->PHP,1000,Instarem,bank
