ts_utc,notional_src,provider,landed_dst,cost_bps,rank,source_ok,error
2026-08-11T13:39:06.249288+00:00,200,Instarem,9484.71,20.25,1,True,
2026-08-11T13:39:06.249288+00:00,200,Wise,9480.68,24.49,2,True,
2026-08-11T13:39:06.249288+00:00,200,HSBC Singapore,9398.85,110.59,3,True,
2026-08-11T13:39:06.249288+00:00,200,PayPal,8798.11,742.69,4,True,
2026-08-11T13:39:06.249288+00:00,1000,Wise,47528.61,-1.86,1,True,
2026-08-11T13:39:06.249288+00:00,1000,Instarem,47447.4,15.23,2,True,
2026-08-11T13:39:06.249288+00:00,1000,HSBC Singapore,46994.27,110.59,3,True,
2026-08-11T13:39:06.249288+00:00,1000,OFX,45323.88,462.11,4,True,
2026-08-11T13:39:06.249288+00:00,1000,PayPal,45151.75,498.33,5,True,
2026-08-11T13:39:06.249288+00:00,5000,Wise,237768.26,-7.12,1,True,
2026-08-11T13:39:06.249288+00:00,5000,Instarem,237595.03,0.17,2,True,
2026-08-11T13:39:06.249288+00:00,5000,HSBC Singapore,234971.35,110.59,3,True,
2026-08-11T13:39:06.249288+00:00,5000,OFX,229380.25,345.91,4,True,
2026-08-11T13:39:06.249288+00:00,5000,PayPal,226919.97,449.46,5,True,
2026-08-11T13:39:06.249288+00:00,25000,Wise,1188964.1,-8.16,1,True,
2026-08-11T13:39:06.249288+00:00,25000,Instarem,1187975.14,0.17,2,True,
2026-08-11T13:39:06.249288+00:00,25000,HSBC Singapore,1174856.75,110.59,3,True,
2026-08-11T13:39:06.249288+00:00,25000,OFX,1158985.87,244.18,4,True,
2026-08-11T13:39:06.249288+00:00,25000,PayPal,1135761.05,439.68,5,True,
2026-08-11T13:39:06.249288+00:00,50000,Wise,2378805.12,-11.85,1,True,
2026-08-11T13:39:06.249288+00:00,50000,Instarem,2375950.28,0.17,2,True,
2026-08-11T13:39:06.249288+00:00,50000,HSBC Singapore,2349713.5,110.59,3,True,
2026-08-11T13:39:06.249288+00:00,50000,OFX,2317971.75,244.18,4,True,
2026-08-11T13:45:10.648513+00:00,200,Instarem,9484.71,20.25,1,True,
2026-08-11T13:45:10.648513+00:00,200,Wise,9481.3,23.84,2,True,
2026-08-11T13:45:10.648513+00:00,200,HSBC Singapore,9398.85,110.59,3,True,
2026-08-11T13:45:10.648513+00:00,200,PayPal,8798.11,742.69,4,True,
2026-08-11T13:45:10.648513+00:00,1000,Wise,47531.69,-2.5,1,True,
2026-08-11T13:45:10.648513+00:00,1000,Instarem,47447.4,15.23,2,True,
2026-08-11T13:45:10.648513+00:00,1000,HSBC Singapore,46994.27,110.59,3,True,
2026-08-11T13:45:10.648513+00:00,1000,OFX,45323.88,462.11,4,True,
2026-08-11T13:45:10.648513+00:00,1000,PayPal,45151.75,498.33,5,True,
2026-08-11T13:45:10.648513+00:00,5000,Wise,237783.68,-7.77,1,True,
2026-08-11T13:45:10.648513+00:00,5000,Instarem,237595.03,0.17,2,True,
2026-08-11T13:45:10.648513+00:00,5000,HSBC Singapore,234971.35,110.59,3,True,
2026-08-11T13:45:10.648513+00:00,5000,OFX,229380.25,345.91,4,True,
2026-08-11T13:45:10.648513+00:00,5000,PayPal,226919.97,449.46,5,True,
2026-08-11T13:45:10.648513+00:00,25000,Wise,1189041.23,-8.81,1,True,
2026-08-11T13:45:10.648513+00:00,25000,Instarem,1187975.14,0.17,2,True,
2026-08-11T13:45:10.648513+00:00,25000,HSBC Singapore,1174856.75,110.59,3,True,
2026-08-11T13:45:10.648513+00:00,25000,OFX,1158985.87,244.18,4,True,
2026-08-11T13:45:10.648513+00:00,25000,PayPal,1135761.05,439.68,5,True,
2026-08-11T13:45:10.648513+00:00,50000,Wise,2378959.91,-12.5,1,True,
2026-08-11T13:45:10.648513+00:00,50000,Instarem,2375950.28,0.17,2,True,
2026-08-11T13:45:10.648513+00:00,50000,HSBC Singapore,2349713.5,110.59,3,True,
2026-08-11T13:45:10.648513+00:00,50000,OFX,2317971.75,244.18,4,True,
2026-08-11T15:17:20.297521+00:00,200,Instarem,9494.82,9.62,1,True,
2026-08-11T15:17:20.297521+00:00,200,Wise,9486.28,18.6,2,True,
2026-08-11T15:17:20.297521+00:00,200,HSBC Singapore,9405.92,103.16,3,True,
2026-08-11T15:17:20.297521+00:00,200,PayPal,8804.39,736.08,4,True,
2026-08-11T15:17:20.297521+00:00,1000,Wise,47556.66,-7.76,1,True,
2026-08-11T15:17:20.297521+00:00,1000,Instarem,47497.97,4.59,2,True,
2026-08-11T15:17:20.297521+00:00,1000,HSBC Singapore,47029.58,103.16,3,True,
2026-08-11T15:17:20.297521+00:00,1000,OFX,45357.93,454.94,4,True,
2026-08-11T15:17:20.297521+00:00,1000,PayPal,45183.9,491.56,5,True,
2026-08-11T15:17:20.297521+00:00,5000,Wise,237908.57,-13.03,1,True,
2026-08-11T15:17:20.297521+00:00,5000,Instarem,237848.24,-10.49,2,True,
2026-08-11T15:17:20.297521+00:00,5000,HSBC Singapore,235147.9,103.16,3,True,
2026-08-11T15:17:20.297521+00:00,5000,OFX,229552.59,338.65,4,True,
2026-08-11T15:17:20.297521+00:00,5000,PayPal,227081.46,442.66,5,True,
2026-08-11T15:17:20.297521+00:00,25000,Wise,1189665.72,-14.06,1,True,
2026-08-11T15:17:20.297521+00:00,25000,Instarem,1189241.22,-10.49,2,True,
2026-08-11T15:17:20.297521+00:00,25000,HSBC Singapore,1175739.48,103.16,3,True,
2026-08-11T15:17:20.297521+00:00,25000,OFX,1159856.68,236.85,4,True,
2026-08-11T15:17:20.297521+00:00,25000,PayPal,1136569.24,432.88,5,True,
2026-08-11T15:17:20.297521+00:00,50000,Wise,2380208.87,-17.76,1,True,
2026-08-11T15:17:20.297521+00:00,50000,Instarem,2378482.45,-10.49,2,True,
2026-08-11T15:17:20.297521+00:00,50000,HSBC Singapore,2351478.97,103.16,3,True,
2026-08-11T15:17:20.297521+00:00,50000,OFX,2319713.36,236.85,4,True,
