ts_utc,notional_src,provider,landed_dst,cost_bps,rank,source_ok,error
2026-09-10T10:05:16.752880+00:00,200,Wise,8941.93,97.8,1,True,
2026-09-10T10:05:16.752880+00:00,200,Instarem,8941.03,98.8,2,True,
2026-09-10T10:05:16.752880+00:00,200,Remitly,8940.23,99.69,3,True,
2026-09-10T10:05:16.752880+00:00,200,Western Union,8851.17,198.31,4,True,
2026-09-10T10:05:16.752880+00:00,200,HSBC Australia,8777.19,280.24,5,True,
2026-09-10T10:05:16.752880+00:00,200,National Australia Bank,8768.34,290.04,6,True,
2026-09-10T10:05:16.752880+00:00,200,Westpac,8670.81,398.04,7,True,
2026-09-10T10:05:16.752880+00:00,200,ANZ,8632.51,440.45,8,True,
2026-09-10T10:05:16.752880+00:00,200,Commonwealth Bank of Australia,8616.83,457.82,9,True,
2026-09-10T10:05:16.752880+00:00,200,PayPal,8364.33,737.43,10,True,
2026-09-10T10:05:16.752880+00:00,1000,Wise,44861.3,64.22,1,True,
2026-09-10T10:05:16.752880+00:00,1000,Instarem,44705.13,98.81,2,True,
2026-09-10T10:05:16.752880+00:00,1000,Remitly,44701.17,99.68,3,True,
2026-09-10T10:05:16.752880+00:00,1000,Western Union,44477.0,149.33,4,True,
2026-09-10T10:05:16.752880+00:00,1000,HSBC Australia,43885.95,280.24,5,True,
2026-09-10T10:05:16.752880+00:00,1000,National Australia Bank,43841.72,290.03,6,True,
2026-09-10T10:05:16.752880+00:00,1000,Westpac,43354.03,398.04,7,True,
2026-09-10T10:05:16.752880+00:00,1000,ANZ,43162.57,440.45,8,True,
2026-09-10T10:05:16.752880+00:00,1000,Commonwealth Bank of Australia,43084.14,457.82,9,True,
2026-09-10T10:05:16.752880+00:00,1000,PayPal,42854.62,508.65,10,True,
2026-09-10T10:05:16.752880+00:00,1000,OFX,42728.63,536.56,11,True,
2026-09-10T10:05:16.752880+00:00,5000,Wise,224453.17,57.72,1,True,
2026-09-10T10:05:16.752880+00:00,5000,Instarem,223638.23,93.82,2,True,
2026-09-10T10:05:16.752880+00:00,5000,Remitly,223505.84,99.68,3,True,
2026-09-10T10:05:16.752880+00:00,5000,Western Union,222742.1,133.51,4,True,
2026-09-10T10:05:16.752880+00:00,5000,HSBC Australia,219429.75,280.24,5,True,
2026-09-10T10:05:16.752880+00:00,5000,National Australia Bank,219208.61,290.03,6,True,
2026-09-10T10:05:16.752880+00:00,5000,Westpac,216770.15,398.04,7,True,
2026-09-10T10:05:16.752880+00:00,5000,OFX,216245.91,421.27,8,True,
2026-09-10T10:05:16.752880+00:00,5000,ANZ,215812.83,440.45,9,True,
2026-09-10T10:05:16.752880+00:00,5000,Commonwealth Bank of Australia,215420.71,457.82,10,True,
2026-09-10T10:05:16.752880+00:00,5000,PayPal,215306.09,462.9,11,True,
2026-09-10T10:05:16.752880+00:00,25000,Wise,1122415.67,56.39,1,True,
2026-09-10T10:05:16.752880+00:00,25000,Instarem,1119317.24,83.84,2,True,
2026-09-10T10:05:16.752880+00:00,25000,Western Union,1117739.72,97.82,3,True,
2026-09-10T10:05:16.752880+00:00,25000,HSBC Australia,1105545.23,205.85,4,True,
2026-09-10T10:05:16.752880+00:00,25000,OFX,1093082.46,316.26,5,True,
2026-09-10T10:05:16.752880+00:00,25000,ANZ,1079064.15,440.45,6,True,
2026-09-10T10:05:16.752880+00:00,25000,PayPal,1077563.43,453.74,7,True,
2026-09-10T10:05:16.752880+00:00,25000,Commonwealth Bank of Australia,1077103.56,457.82,8,True,
2026-09-10T10:05:16.752880+00:00,50000,Wise,2245546.16,53.23,1,True,
2026-09-10T10:05:16.752880+00:00,50000,Instarem,2238634.48,83.84,2,True,
2026-09-10T10:05:16.752880+00:00,50000,Western Union,2235613.14,97.23,3,True,
2026-09-10T10:05:16.752880+00:00,50000,HSBC Australia,2211090.45,205.85,4,True,
2026-09-10T10:05:16.752880+00:00,50000,OFX,2186164.92,316.26,5,True,
2026-09-10T10:05:16.752880+00:00,50000,ANZ,2158128.29,440.45,6,True,
2026-09-10T10:05:16.752880+00:00,50000,Commonwealth Bank of Australia,2154207.11,457.82,7,True,
